name,department,rating,num_ratings,would_take_again_pct,level_of_difficulty,professor_url
Frederick Wright,Marketing,4,26,0%,2.7,https://www.ratemyprofessors.com/professor/546051
Getty Lustila,Philosophy,5,29,97%,2.7,https://www.ratemyprofessors.com/professor/2638336
natalya waston,Writing,1.1,7,0%,4.6,https://www.ratemyprofessors.com/professor/2516982
Cali Collin,Human Services,5,3,100%,1.7,https://www.ratemyprofessors.com/professor/3087518
Desislava Raytcheva,Biology,4.9,25,96%,3,https://www.ratemyprofessors.com/professor/2243764
Kledia Spiro,Graphic Design,2.4,8,38%,4,https://www.ratemyprofessors.com/professor/2725755
Barbara Berenson,Law,4.3,7,86%,3.1,https://www.ratemyprofessors.com/professor/2752895
Chad O'Connor,Communication Studies,4.8,19,93%,2.7,https://www.ratemyprofessors.com/professor/1477686
Edward Geisinger,Biology,4.7,7,100%,2.7,https://www.ratemyprofessors.com/professor/2620958
Aisulu Kulbayeva,Linguistics,5,3,100%,2.3,https://www.ratemyprofessors.com/professor/2792018
Sophie Hodara,Graphic Design,1.7,3,0%,3.7,https://www.ratemyprofessors.com/professor/2867847
Leah  Greene,Health Science,2,1,0%,4,https://www.ratemyprofessors.com/professor/3090402
Jennifer Huer,Health Science,4.8,8,100%,3,https://www.ratemyprofessors.com/professor/2330261
Sergey Kravchenko,Physics,4.5,29,100%,2.2,https://www.ratemyprofessors.com/professor/523397
Mark Laughlin,Design,2.6,16,36%,3.7,https://www.ratemyprofessors.com/professor/769963
Stephanie Kinzinger,English,4.7,6,100%,1.8,https://www.ratemyprofessors.com/professor/3046511
Javier Apfeld,Biology,3.3,19,58%,2.6,https://www.ratemyprofessors.com/professor/2395641
Peter Desnoyers,Computer Science,3,12,40%,3.8,https://www.ratemyprofessors.com/professor/1456276
Elizabeth Bucar,Philosophy,3.6,10,100%,3.1,https://www.ratemyprofessors.com/professor/1985555
Donald O' Malley,Biology,3.1,10,50%,1.2,https://www.ratemyprofessors.com/professor/2501565
Claire Wassinger,Advisor,4.6,5,60%,1.6,https://www.ratemyprofessors.com/professor/2585209
Steven Holtzen,Computer Science,5,4,100%,2.8,https://www.ratemyprofessors.com/professor/2786993
Jeffrey Letourneau,Business,5,3,100%,1.7,https://www.ratemyprofessors.com/professor/3052905
Kathryn Schulte Grahame,Engineering,4.5,2,100%,4.5,https://www.ratemyprofessors.com/professor/2716730
Bailey McAlister,Writing,5,2,100%,1.5,https://www.ratemyprofessors.com/professor/3086283
Daniel Voionmaa,Not Specified,4.6,9,83%,1.1,https://www.ratemyprofessors.com/professor/1798460
Panagiotis Manolios,Computer Science,2.5,14,29%,4.1,https://www.ratemyprofessors.com/professor/1407172
Julia Garrett,English,4.1,9,89%,3.1,https://www.ratemyprofessors.com/professor/2580199
Akash Murty,Engineering,2,4,25%,1.5,https://www.ratemyprofessors.com/professor/3061586
Mya Poe,English,5,3,100%,2.3,https://www.ratemyprofessors.com/professor/2619292
Juan Colomina-Almiñana,Philosophy,5,3,100%,1.7,https://www.ratemyprofessors.com/professor/3055647
Denise Spencer,Managerial Science,4.5,84,87%,3.8,https://www.ratemyprofessors.com/professor/1862812
Dennis Svoronos,Fine Arts,4.9,12,100%,2.4,https://www.ratemyprofessors.com/professor/2757339
Christina Agostinelli-Fucile,Spanish,3.7,11,64%,3.6,https://www.ratemyprofessors.com/professor/2368013
Melissa Ferrick,Music,4.2,5,80%,2.2,https://www.ratemyprofessors.com/professor/2970501
Chase Chidlress,Criminal Justice,3.8,4,75%,4,https://www.ratemyprofessors.com/professor/3008500
Suzanne Richard,English,3.4,19,59%,2.2,https://www.ratemyprofessors.com/professor/932394
Thomas  Barnay,Economics,4.6,13,92%,2.9,https://www.ratemyprofessors.com/professor/2850118
Jacqueline Griffin,Industrial Engineering,1.8,10,12%,4.4,https://www.ratemyprofessors.com/professor/1958826
Frank Wheeler,Marketing,5,4,100%,3,https://www.ratemyprofessors.com/professor/2999818
Corrine Condon,Philosophy,4.3,3,100%,1.7,https://www.ratemyprofessors.com/professor/3058247
Brandon Craig,Criminal Justice,2.4,5,20%,1,https://www.ratemyprofessors.com/professor/2929747
Geo Barbone,Economics,5,4,100%,2.8,https://www.ratemyprofessors.com/professor/3050034
Jose Menendez,Fine Arts,5,4,100%,2.8,https://www.ratemyprofessors.com/professor/2768645
Sunil Mittal,Engineering,5,2,100%,3,https://www.ratemyprofessors.com/professor/2929924
Daniel Feinberg,Computer Science,5,2,100%,2.5,https://www.ratemyprofessors.com/professor/2562592
Christopher Daly,Physics,2.2,13,25%,3.4,https://www.ratemyprofessors.com/professor/1065914
Paxton Sheldahl,Architecture,3.6,9,86%,3.1,https://www.ratemyprofessors.com/professor/1996281
Griffin Zimmerman,English,3.7,3,67%,2.3,https://www.ratemyprofessors.com/professor/3062751
Alejandro Saldarriaga,Architecture,5,5,100%,1.8,https://www.ratemyprofessors.com/professor/3080599
Alicia Svenson,History,5,1,100%,3,https://www.ratemyprofessors.com/professor/3021531
Zeynep Aksehirli,Organizational Leadership,3.3,10,60%,3.6,https://www.ratemyprofessors.com/professor/2665458
Adebukola Ajao,Marketing,1,3,0%,1.7,https://www.ratemyprofessors.com/professor/3009191
Simon Singer,Criminal Justice,3.3,16,100%,2.6,https://www.ratemyprofessors.com/professor/527485
Katherine Hazen,Criminal Justice,5,3,100%,3,https://www.ratemyprofessors.com/professor/3048022
Demi Fang,Architecture,5,2,100%,3,https://www.ratemyprofessors.com/professor/3080596
Philip Larese-Casanova,Civil Engineering,4,6,83%,3.2,https://www.ratemyprofessors.com/professor/2417003
Peter Mancusi,Communication Studies,5,5,100%,2,https://www.ratemyprofessors.com/professor/2959454
Brian Robison,Music,1.7,25,5%,3.7,https://www.ratemyprofessors.com/professor/951521
Lynn Burke,Architecture,4,6,0%,1.3,https://www.ratemyprofessors.com/professor/1195613
Megan Denver,Criminal Justice,5,5,100%,2.8,https://www.ratemyprofessors.com/professor/2589606
Michelle Carr,Communication Studies,4.6,4,100%,2.5,https://www.ratemyprofessors.com/professor/1807485
Nicole Aljoe,English,4.4,10,100%,3.2,https://www.ratemyprofessors.com/professor/1374695
Laurel Leff,Journalism,2.8,5,20%,4.2,https://www.ratemyprofessors.com/professor/2542105
Nelly Anderson,Fine Arts,1,4,0%,5,https://www.ratemyprofessors.com/professor/3083343
Evan Bennett,Music,5,2,100%,1,https://www.ratemyprofessors.com/professor/2156873
Matthew Hogancamp,Mathematics,2.7,17,41%,3.4,https://www.ratemyprofessors.com/professor/2564807
Ogechi Onyechere,Management,2.8,5,40%,3.8,https://www.ratemyprofessors.com/professor/2966126
Shaunna Harrington,History,5,5,100%,2.8,https://www.ratemyprofessors.com/professor/2475745
Nikos Soukos,Biology,1,3,0%,2.7,https://www.ratemyprofessors.com/professor/2540598
Bahram Shafai,Electrical Engineering,3.3,9,43%,3.3,https://www.ratemyprofessors.com/professor/980811
James Hands,Chemistry,5,1,100%,4,https://www.ratemyprofessors.com/professor/2917021
Nancy Robbie,Leadership,5,2,100%,2.5,https://www.ratemyprofessors.com/professor/2036393
Michael Woodson,Computer  Informational Tech.,4.5,2,100%,3,https://www.ratemyprofessors.com/professor/2179091
Ted Matherly,Marketing,2.3,6,17%,3.3,https://www.ratemyprofessors.com/professor/2887709
Egle Slezas,Management,5,1,100%,3,https://www.ratemyprofessors.com/professor/2734109
Dan Kennedy,Journalism,4.4,24,100%,3,https://www.ratemyprofessors.com/professor/805887
Michael Beaudet,Journalism,3.5,4,50%,2.3,https://www.ratemyprofessors.com/professor/2183201
Andres Shahidinejad,Finance,4.7,10,100%,2.8,https://www.ratemyprofessors.com/professor/2844245
Tejas Parikh,Information Science,2,5,20%,4.8,https://www.ratemyprofessors.com/professor/2817875
Jennifer Evans,Health Science,5,1,100%,1,https://www.ratemyprofessors.com/professor/3055976
Amy Mueller,Civil Engineering,2.8,5,60%,4.4,https://www.ratemyprofessors.com/professor/2583107
Michael Ruff,Business,4.8,4,100%,2.8,https://www.ratemyprofessors.com/professor/2547941
Caglar Yildirim,Computer Science,3.5,13,69%,2.9,https://www.ratemyprofessors.com/professor/2547656
Julie Meyer,Business,5,2,100%,3,https://www.ratemyprofessors.com/professor/3049080
Sarah Finn,English,4.6,17,93%,2,https://www.ratemyprofessors.com/professor/1945361
Robert Mooradian,Finance,2.8,14,0%,3.1,https://www.ratemyprofessors.com/professor/446354
Isabelle Grenier,Business,4,2,50%,1,https://www.ratemyprofessors.com/professor/2990275
Ganeshsingh Thakur,Pharmacy,4.6,20,67%,2.9,https://www.ratemyprofessors.com/professor/922103
Kate Terrado,Graphic Design,3.9,10,70%,2.7,https://www.ratemyprofessors.com/professor/2191457
Nick Beauchamp,Political Science,3.5,2,100%,2.5,https://www.ratemyprofessors.com/professor/2865902
Philip Hanser,Economics,2.4,8,25%,3.4,https://www.ratemyprofessors.com/professor/2647630
Carol Lee,Business,3.3,10,40%,3.4,https://www.ratemyprofessors.com/professor/2578470
Peter Whitney,Mechanical Engineering,2,6,17%,3.8,https://www.ratemyprofessors.com/professor/2413280
Xue Lin,Computer Engineering,5,4,100%,2.8,https://www.ratemyprofessors.com/professor/2234143
Richard Freeland,History,4,3,100%,4,https://www.ratemyprofessors.com/professor/2324923
Brett Murphy Hunt,English,5,2,100%,3,https://www.ratemyprofessors.com/professor/2632773
Brian Fulton,Chemistry,2.3,38,28%,3.6,https://www.ratemyprofessors.com/professor/1694875
Lori Lefkovitz,Judaic Studies,4.6,5,67%,2.2,https://www.ratemyprofessors.com/professor/1869205
George Thrush,Architecture,2.4,14,0%,2.4,https://www.ratemyprofessors.com/professor/234872
Jieying  Jin,Mathematics,4.7,6,83%,2,https://www.ratemyprofessors.com/professor/2929326
Alex Budnitz,Graphic Design,2.6,7,29%,3.9,https://www.ratemyprofessors.com/professor/2231889
Sofia Bosch Gomez,Graphic Design,5,2,100%,3.5,https://www.ratemyprofessors.com/professor/2888996
Benjamin Lerner,Computer Science,3.6,90,61%,4.3,https://www.ratemyprofessors.com/professor/2034405
Sharyn Hardy,Management,5,1,100%,1,https://www.ratemyprofessors.com/professor/2632898
Natalie Bormann,Political Science,4.3,26,78%,2.2,https://www.ratemyprofessors.com/professor/1017883
Carl Moxey,Biology,3,18,60%,3.1,https://www.ratemyprofessors.com/professor/494700
Arjun Guha,Computer Science,4.9,14,100%,3.5,https://www.ratemyprofessors.com/professor/2686311
Julia Varshavsky,Environmental Studies,3.7,3,67%,3,https://www.ratemyprofessors.com/professor/2776150
Jane McCool,Nursing,2.2,10,17%,3,https://www.ratemyprofessors.com/professor/1682230
Noor Ali,Education,4.3,3,67%,2,https://www.ratemyprofessors.com/professor/2899401
Alison Glassie,English,5,2,100%,1,https://www.ratemyprofessors.com/professor/3028987
Saloni Dev,Health Science,1,2,0%,1,https://www.ratemyprofessors.com/professor/2643719
Tom Kelley,Physics,3.4,18,64%,3.2,https://www.ratemyprofessors.com/professor/1896672
Nick McGruer,Engineering,3.4,12,100%,3,https://www.ratemyprofessors.com/professor/219091
Kadin Prideaux,Mathematics,2,10,40%,2.9,https://www.ratemyprofessors.com/professor/2487542
James Scorzelli,Psychology,2.9,7,0%,3.3,https://www.ratemyprofessors.com/professor/638322
Evisa Bogdani,Accounting,4.7,16,81%,2.4,https://www.ratemyprofessors.com/professor/2946875
Steven Vallas,Sociology,3.3,17,62%,3.2,https://www.ratemyprofessors.com/professor/1927282
Abhi Shelat,Computer Science,1.5,14,14%,4.6,https://www.ratemyprofessors.com/professor/2783286
Constantin Takacks,Biology,2.8,5,0%,3,https://www.ratemyprofessors.com/professor/2986880
Carly Dwyer,Game Design,5,1,100%,1,https://www.ratemyprofessors.com/professor/3070219
Jennifer Sherman,Accounting,3.5,10,70%,2.1,https://www.ratemyprofessors.com/professor/2895691
mitchell  Burman,Business,4.6,5,100%,3.6,https://www.ratemyprofessors.com/professor/2969030
Shakir Mustafa,Arabic,3.3,26,40%,3.7,https://www.ratemyprofessors.com/professor/1233826
Steven Vollmer,Biology,3.6,24,69%,3.3,https://www.ratemyprofessors.com/professor/1102286
Alessio Tognetti,International Studies,4.2,15,91%,3,https://www.ratemyprofessors.com/professor/1658085
Paul Stevenson,Physics,4.1,7,86%,3.1,https://www.ratemyprofessors.com/professor/2768711
Doreen Lee,Anthropology,3.3,6,50%,4.7,https://www.ratemyprofessors.com/professor/1509457
Dan Zedek,Journalism,3,2,50%,3.5,https://www.ratemyprofessors.com/professor/2984900
Bill Lancaster,Communication,4.4,97,89%,2.6,https://www.ratemyprofessors.com/professor/333290
Matthew McDonald,Music,3.1,24,40%,3,https://www.ratemyprofessors.com/professor/1088928
Caitlyn Griffin,English,3,4,75%,3.5,https://www.ratemyprofessors.com/professor/2901773
Elitsa Banalieva,Business Administration,3.9,50,75%,3.5,https://www.ratemyprofessors.com/professor/1052146
David Desteno,Psychology,4.3,9,100%,2.1,https://www.ratemyprofessors.com/professor/120989
Tisha Stadnicki,Music,4.9,7,100%,1.4,https://www.ratemyprofessors.com/professor/1230510
Chris Buell,Criminal Justice,4.7,3,50%,3,https://www.ratemyprofessors.com/professor/1169172
Craig Shillaber,Civil Engineering,2.8,35,46%,3.7,https://www.ratemyprofessors.com/professor/2294189
Marwan Sabbouh,Computer Engineering,1,2,0%,3,https://www.ratemyprofessors.com/professor/2746361
Harikrishnan Parameswaran,Engineering,2,4,25%,4.3,https://www.ratemyprofessors.com/professor/2239801
Mallesham Dasari,Computer Engineering,4.8,6,100%,2.7,https://www.ratemyprofessors.com/professor/3021958
Susan Spilecki,English,3.4,20,53%,3.5,https://www.ratemyprofessors.com/professor/1226034
Aurelie Edwards,Engineering,4.6,8,100%,3.9,https://www.ratemyprofessors.com/professor/2544306
Daniel Wichs,Computer Science,2.1,7,0%,3.9,https://www.ratemyprofessors.com/professor/2963761
Anitza Grubb,Business,2.4,8,40%,4,https://www.ratemyprofessors.com/professor/1844000
Koen Pauwels,Marketing,4.2,5,60%,3.2,https://www.ratemyprofessors.com/professor/2345425
Annique Un,International Business,3.4,71,48%,3.1,https://www.ratemyprofessors.com/professor/1648526
Francisco Hung,Chemical Engineering,5,3,100%,3,https://www.ratemyprofessors.com/professor/2759882
Diego Alzate-Sanchez,Chemistry,5,4,100%,3.3,https://www.ratemyprofessors.com/professor/2972101
Caitlyn Jarvis,Communication Studies,2.8,4,50%,2.5,https://www.ratemyprofessors.com/professor/2881473
Michael Kane,Civil Engineering,2,7,29%,3.4,https://www.ratemyprofessors.com/professor/2638743
Jose Sierra,Computer Science,3.8,4,75%,3,https://www.ratemyprofessors.com/professor/2386817
Johan Bonilla Castro,Physics,2,2,50%,4,https://www.ratemyprofessors.com/professor/3063064
Adina Gitomer,Computer Science,5,1,100%,1,https://www.ratemyprofessors.com/professor/3063547
Tiantian Gu,Business Administration,3.3,24,50%,3.2,https://www.ratemyprofessors.com/professor/1642527
Hameed Metgalchi,Engineering,4.7,18,100%,3.9,https://www.ratemyprofessors.com/professor/231008
Samantha Richert,Theater,4.3,7,80%,2,https://www.ratemyprofessors.com/professor/2046183
Matthew  Eckelman,Civil Engineering,4.4,6,100%,2.5,https://www.ratemyprofessors.com/professor/2086230
Nathan Zelesko,Mathematics,3.8,5,80%,3.2,https://www.ratemyprofessors.com/professor/2866763
Dawn Mackiewicz,Communication Studies,3.4,5,60%,2.6,https://www.ratemyprofessors.com/professor/2153615
Saha Subrajit,Environmental Science,1.5,2,0%,4,https://www.ratemyprofessors.com/professor/2996986
Alex Martsinkovsky,Mathematics,4,45,33%,3,https://www.ratemyprofessors.com/professor/318790
Tamara Bonaci,Computer Science,3.6,11,64%,3.6,https://www.ratemyprofessors.com/professor/2673561
Mirek Riedewald,Computer Science,4.7,9,100%,3.1,https://www.ratemyprofessors.com/professor/1456273
Krishna Madaparthi,Sign Language,3,5,40%,3.6,https://www.ratemyprofessors.com/professor/2751793
Ismet Altunkaynak,Physics,5,4,100%,2.8,https://www.ratemyprofessors.com/professor/2739301
James Merenda,Music,5,4,100%,1.8,https://www.ratemyprofessors.com/professor/1452072
Rabah Ahmed,Engineering,3.5,2,0%,3.5,https://www.ratemyprofessors.com/professor/2640332
Martin  Walsh,Management,5,2,100%,1.5,https://www.ratemyprofessors.com/professor/2962450
Samuel Chung,Engineering,1,1,0%,5,https://www.ratemyprofessors.com/professor/2747629
Cheryl Mitteness,Not Specified,3.6,19,50%,2.3,https://www.ratemyprofessors.com/professor/1473048
Carol Livermore,Mechanical Engineering,4.7,7,100%,3.3,https://www.ratemyprofessors.com/professor/2517781
Joel Smith,Music,2.7,6,0%,3.8,https://www.ratemyprofessors.com/professor/1073403
Soner Sonmezoglu,Mechanical Engineering,4.5,2,100%,3.5,https://www.ratemyprofessors.com/professor/2867944
Adam Powell,Health Science,1,1,0%,4,https://www.ratemyprofessors.com/professor/3061825
Rahul Hirwani,Mathematics,5,2,100%,1.5,https://www.ratemyprofessors.com/professor/2872786
Peter Richardson,Political Science,3.2,23,60%,3.5,https://www.ratemyprofessors.com/professor/982040
Amilcar Barreto,Political Science,4.3,16,60%,3.8,https://www.ratemyprofessors.com/professor/366897
Richard Weissman,Management,3.9,4,100%,3.8,https://www.ratemyprofessors.com/professor/1609877
Jelena  Golubovic,Anthropology,3,2,50%,3.5,https://www.ratemyprofessors.com/professor/2961788
Justin Manjourides,Health Science,1.5,2,0%,3.5,https://www.ratemyprofessors.com/professor/3053795
Victoria (Shu) Zhang,Management,5,1,100%,2,https://www.ratemyprofessors.com/professor/3060287
Charlie Barth,Mathematics,3,1,100%,3,https://www.ratemyprofessors.com/professor/3061014
Kate Janisch,Health Science,2,9,22%,2.6,https://www.ratemyprofessors.com/professor/2726825
Robert Platt,Computer Science,3.4,8,57%,2.5,https://www.ratemyprofessors.com/professor/2138128
Nina Sylvanus,Anthropology,4.8,6,100%,2.8,https://www.ratemyprofessors.com/professor/1890322
Patricia Davis,Communication Studies,2.6,5,40%,2.8,https://www.ratemyprofessors.com/professor/2738295
Courtney Martinez,Biology,5,3,100%,2,https://www.ratemyprofessors.com/professor/2920441
Thomas Vaughn,Visual Arts,5,2,100%,2.5,https://www.ratemyprofessors.com/professor/2129138
Samuel Munoz,Environmental Science,4.8,8,100%,1.9,https://www.ratemyprofessors.com/professor/2631073
John Hinson,Theater,3.7,6,67%,2.3,https://www.ratemyprofessors.com/professor/2210567
Rosanna Fiske,Communication Studies,2,1,0%,3,https://www.ratemyprofessors.com/professor/3058759
Margarita Patria,Economics,5,2,100%,2.5,https://www.ratemyprofessors.com/professor/2889587
Lisa Volpicelli,Accounting,1.7,3,0%,4.3,https://www.ratemyprofessors.com/professor/2425560
Heather Brenhouse,Psychology,5,2,100%,2.5,https://www.ratemyprofessors.com/professor/2180600
Ali Touran,Civil Engineering,5,1,100%,1,https://www.ratemyprofessors.com/professor/3056881
Kasey Kidder,Advisor,3.5,2,50%,1,https://www.ratemyprofessors.com/professor/2999039
Zsofia Zador,International Business,5,10,100%,1.2,https://www.ratemyprofessors.com/professor/3055159
Zhuoqun Cheng,Computer Science,3.2,5,40%,3.6,https://www.ratemyprofessors.com/professor/2582111
N. Castor,African-American Studies,4.7,3,100%,4,https://www.ratemyprofessors.com/professor/3000169
Meredith Sweeney,Biology,4.5,2,100%,4,https://www.ratemyprofessors.com/professor/2918187
Olin Shivers,Computer Science,4.3,48,77%,3.4,https://www.ratemyprofessors.com/professor/923911
Ilham Khuri-Makdisi,History,4,26,62%,3.5,https://www.ratemyprofessors.com/professor/424542
Yeemay Su,Health Science,4.8,14,93%,2.5,https://www.ratemyprofessors.com/professor/2637946
Jacqueline McCleary,Physics,5,1,100%,3,https://www.ratemyprofessors.com/professor/3054217
Kambiz Heydari,Engineering,1,1,0%,5,https://www.ratemyprofessors.com/professor/2805048
Michael Jaeggli,Biomedical,4,20,70%,3.5,https://www.ratemyprofessors.com/professor/2162079
Arpit Raj,Physics,5,1,100%,3,https://www.ratemyprofessors.com/professor/3053534
William Shimer,Business Administration,3.4,40,59%,2.8,https://www.ratemyprofessors.com/professor/1635975
George Chichirau,Political Science,4.3,6,100%,1.3,https://www.ratemyprofessors.com/professor/2713843
Cortney Alexander-Doyle,Health Science,3.3,3,67%,1.3,https://www.ratemyprofessors.com/professor/3007769
Paula Caligiuri,International Business,5,2,100%,3,https://www.ratemyprofessors.com/professor/2452396
Marcella Heinecke,Environmental Science,2,1,0%,5,https://www.ratemyprofessors.com/professor/3053057
Shuishan Yu,Architecture,3.6,8,50%,2.9,https://www.ratemyprofessors.com/professor/2346076
Earlene Avalon,Health Management,5,3,100%,2.7,https://www.ratemyprofessors.com/professor/2561743
Shachi Winton,Computer Science,3,2,50%,3,https://www.ratemyprofessors.com/professor/2970264
William Jackson,Advisor,2.5,13,100%,1.3,https://www.ratemyprofessors.com/professor/1277834
Korey Tillman,Criminal Justice,5,2,100%,2,https://www.ratemyprofessors.com/professor/3048032
Christopher  Mellen,Business,2,1,0%,3,https://www.ratemyprofessors.com/professor/3029324
Sean Carroll,Mathematics,5,1,100%,2,https://www.ratemyprofessors.com/professor/3051410
Laurent Lessard,Mechanical Engineering,5,3,100%,3.3,https://www.ratemyprofessors.com/professor/2803337
Becky Rosengaus,Biology,3.1,54,45%,3.2,https://www.ratemyprofessors.com/professor/374053
Tsegay Tekleselassie,Economics,4.6,10,100%,2.4,https://www.ratemyprofessors.com/professor/2841223
Elise Dallimore,Communication,3.1,47,42%,4.5,https://www.ratemyprofessors.com/professor/536205
Lynn Dornink,English,4,18,71%,2.4,https://www.ratemyprofessors.com/professor/778321
Michael Curry,Mathematics,3.7,3,67%,2.7,https://www.ratemyprofessors.com/professor/2217225
Kristin  Stankard,Nursing,5,3,100%,3.3,https://www.ratemyprofessors.com/professor/2955121
Amy McGreevy,Nursing,4.8,4,100%,3.3,https://www.ratemyprofessors.com/professor/3000553
Hillary Chute,English,3,4,50%,3.8,https://www.ratemyprofessors.com/professor/2428591
Shannon Rose McAuliffe,Music,4,7,86%,1.3,https://www.ratemyprofessors.com/professor/2642005
Marvin Onabajo,Electrical Engineering,4,5,67%,3.2,https://www.ratemyprofessors.com/professor/1877446
Alexandru Suciu,Mathematics,5,1,100%,2,https://www.ratemyprofessors.com/professor/2819004
Mahdi Imani,Engineering,5,1,100%,3,https://www.ratemyprofessors.com/professor/2789752
J. Timothy Sage,Physics,5,1,100%,3,https://www.ratemyprofessors.com/professor/3049201
Dennis Shaughnessy,Entrepreneurship,3.7,41,52%,3.5,https://www.ratemyprofessors.com/professor/866611
Denis Sullivan,Political Science,4,35,79%,2.6,https://www.ratemyprofessors.com/professor/153127
Elham Dehghan,English,4.8,10,100%,2.7,https://www.ratemyprofessors.com/professor/3000613
Mirna Rossi,Marketing,4.3,3,100%,2,https://www.ratemyprofessors.com/professor/2989390
Chris Bosso,Political Science,3.3,15,60%,3.2,https://www.ratemyprofessors.com/professor/166961
Catherine Nielson,Psychology,5,2,100%,3,https://www.ratemyprofessors.com/professor/2615731
Daniel Godfrey,Music,3.3,2,0%,3.5,https://www.ratemyprofessors.com/professor/2107019
Jared Flake,Accounting,4.5,11,82%,3.1,https://www.ratemyprofessors.com/professor/2951058
Samira Faegh,Engineering,4.8,4,100%,2.8,https://www.ratemyprofessors.com/professor/2946827
Nazanin Bani Amerian,Journalism,2.8,5,40%,1.4,https://www.ratemyprofessors.com/professor/2924482
Anastasja Abraham,Political Science,5,5,100%,2,https://www.ratemyprofessors.com/professor/2719313
Paul Hand,Mathematics,4.4,7,71%,3.6,https://www.ratemyprofessors.com/professor/2403807
Sarthak Gupta,Biotechnology,4.3,12,83%,2.8,https://www.ratemyprofessors.com/professor/2834473
Xuemin Jin,Mechanical Engineering,3,2,50%,5,https://www.ratemyprofessors.com/professor/2727844
Cristina  Stanica,Public Policy,3.5,2,50%,3,https://www.ratemyprofessors.com/professor/3029571
Sultan Fareena,Marketing,2.1,7,29%,3.7,https://www.ratemyprofessors.com/professor/2045177
David Lovece,Computer & Informational Tech.,1,2,0%,5,https://www.ratemyprofessors.com/professor/1892871
Tracy Corley,Sociology,1.1,8,0%,4.4,https://www.ratemyprofessors.com/professor/2628354
Vladimir Shapiro,Computer & Informational Tech.,1,1,0%,4,https://www.ratemyprofessors.com/professor/2887219
Matthew Kafafian,Criminal Justice,5,1,100%,2,https://www.ratemyprofessors.com/professor/2894510
Frank Woodworth,Music,5,1,100%,3,https://www.ratemyprofessors.com/professor/3038206
William Goldberg,Management,2.5,2,50%,4.5,https://www.ratemyprofessors.com/professor/2270735
Mohsen Soltanifar,Mathematics,3.7,6,67%,3.8,https://www.ratemyprofessors.com/professor/2870867
Juyi Lyu,Economics,5,2,100%,2,https://www.ratemyprofessors.com/professor/3002907
Margaret Crehan,Sociology,3.4,17,73%,3.3,https://www.ratemyprofessors.com/professor/1066802
Friedrich Lohr,International Affairs,4.7,3,100%,2.3,https://www.ratemyprofessors.com/professor/2351533
Keith Mackay,Computer Science,3.3,3,67%,2.3,https://www.ratemyprofessors.com/professor/2363752
Eileen DeWitt,Nursing,5,1,100%,3,https://www.ratemyprofessors.com/professor/3033649
Robert Steere,Business,2.8,21,40%,3.9,https://www.ratemyprofessors.com/professor/2043022
Shuang  Song,Information Science,5,1,100%,3,https://www.ratemyprofessors.com/professor/3030291
Jimi Duggan,English,4.7,6,100%,2,https://www.ratemyprofessors.com/professor/2959471
Engin Kirda,Computer & Informational Tech.,3.6,8,60%,2.9,https://www.ratemyprofessors.com/professor/1841338
Paul Cleary,Business,3.2,19,75%,2.3,https://www.ratemyprofessors.com/professor/1890529
Ramin Mohammadi,Engineering,4,14,64%,4.4,https://www.ratemyprofessors.com/professor/2773797
Daniel Wu,Computer Science,4.2,5,60%,3.6,https://www.ratemyprofessors.com/professor/2799069
Oscar Veliz,Computer Science,2,1,0%,4,https://www.ratemyprofessors.com/professor/3031291
Sivarit Sultornsanee,Industrial Engineering,4.8,5,80%,2.8,https://www.ratemyprofessors.com/professor/2840278
Otonye Braide-Moncoeur,Chemistry,4.5,2,100%,4,https://www.ratemyprofessors.com/professor/2644831
Daryl Smith,Graphic Design,4.3,4,75%,1.8,https://www.ratemyprofessors.com/professor/2639796
Marko Puljic,Computer Science,1,8,0%,2.6,https://www.ratemyprofessors.com/professor/3023533
Amanda Gibson,Business,3.5,6,67%,2.2,https://www.ratemyprofessors.com/professor/2972185
Yan Zhou,Mathematics,2,5,0%,3.2,https://www.ratemyprofessors.com/professor/2824809
Naveen Kuragayala,Information Science,2.8,9,22%,3.1,https://www.ratemyprofessors.com/professor/2737047
Richard Andersen,Entrepreneurship,2.7,23,38%,3.8,https://www.ratemyprofessors.com/professor/2041354
William Lancaster,Media Studies,5,1,100%,2,https://www.ratemyprofessors.com/professor/2770464
Barb Murrer,Marketing,4.5,2,100%,2,https://www.ratemyprofessors.com/professor/3012563
Benjamin Levy,Sociology,5,19,100%,2.4,https://www.ratemyprofessors.com/professor/2478921
Pete Manolios,Computer Science,1,6,0%,4,https://www.ratemyprofessors.com/professor/2585220
Sara Hayat,Architecture,4.3,3,100%,2,https://www.ratemyprofessors.com/professor/2960244
Max White,English,4.6,19,88%,2.1,https://www.ratemyprofessors.com/professor/939410
Robert Kubacki,Business,1.9,10,20%,4.6,https://www.ratemyprofessors.com/professor/2561742
Brenda Siragusa,Management,3,2,50%,3,https://www.ratemyprofessors.com/professor/2953771
Rita Allen,Human Services,5,1,100%,3,https://www.ratemyprofessors.com/professor/3026134
Yusuf Ozbek,Engineering,4.4,34,71%,3.1,https://www.ratemyprofessors.com/professor/1128929
Chinbo Chong,Political Science,1,6,0%,5,https://www.ratemyprofessors.com/professor/2979517
LaKeisha Lowe,Finance,1.5,2,0%,5,https://www.ratemyprofessors.com/professor/2931444
