term,created_date,course_info,audience,section,question,Number of Responses,Course Mean,Dept. Mean,Univ. Mean,Course Median,Dept. Median,Univ. Median,count_5,count_4,count_3,count_2,count_1,comment_prompt,comments_json,demographics_json
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ENTR6250-01 Lean Design and Development  (Tucker Marion),51,Instructor Related Questions: Tucker Marion,The instructor was available to assist students outside of class.,7,4.57,4.47,4.52,5.0,5.0,5.0,5,1,1,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ENTR6250-01 Lean Design and Development  (Tucker Marion),51,Instructor Related Questions: Tucker Marion,The instructor facilitated a respectful and inclusive learning environment.,7,4.57,4.64,4.61,5.0,5.0,5.0,5,1,1,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ENTR6250-01 Lean Design and Development  (Tucker Marion),51,Instructor Related Questions: Tucker Marion,The instructor displayed enthusiasm for the course.,7,4.57,4.69,4.71,5.0,5.0,5.0,5,1,1,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ENTR6250-01 Lean Design and Development  (Tucker Marion),51,Instructor Effectiveness: Tucker Marion,What is your overall rating of this instructor's teaching effectiveness?,8,4.5,4.7,4.5,5.0,5.0,5.0,6,0,2,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ENTR6250-01 Lean Design and Development  (Tucker Marion),51,Comments,,,,,,,,,,,,,,Please comment on your experience of the online course environment in the open-ended text box.,"[""The course was well laid–out and was very informative."", ""Professor Marion made a great course."", ""Teaching assistants were not helpful and seemed to give random grades on assignments"", ""I was lucky to be with a group of proactive and experienced people, we exchanged experiences and built out our project from this perspective""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ENTR6250-01 Lean Design and Development  (Tucker Marion),51,Comments,,,,,,,,,,,,,,What were the strengths of this course and/or this instructor?,"[""Vast knowledge."", ""Accurate"", ""Easy to understand and follow"", ""They were hands–on and made sure to answer lingering questions.""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ENTR6250-01 Lean Design and Development  (Tucker Marion),51,Comments,,,,,,,,,,,,,,What could the instructor do to make this course better?,"[""1. Proofread every part of the course.2. Re–do the rubrics to ensure they capture all the criteria being graded instead of using Mechanics as an ad hoc section.3. Ensure the assignments in the syllabus match the actual assignments in Canvas (there was an assignment that was not captured in the syllabus).4. More videos. There were many sections that were very text heavy.5. Audit the due dates. We had an assignment due in the final week where we would get feedback to use in our final projects that was due on the same day as our final project.6. Clearly communicate assignment requirements. The modules say there is only one reply to peers required for discussion assignments, but the TAs expected two. There was no announcement to the class requiring two replies.7. Use Faculty Connect to discuss the module material of the week we're in. Faculty Connect was on Monday of each week. Using this time to discuss the material we had just submitted an assignment on was not helpful."", ""Grade assignments instead of relying on the teaching assistants"", ""Nothing"", ""Nothing"", ""Could give opportunity to provide more resources""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ENTR6250-01 Lean Design and Development  (Tucker Marion),51,Comments,,,,,,,,,,,,,,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,"[""If they can extend deadlines""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ENTR6250-01 Lean Design and Development  (Tucker Marion),51,Comments,,,,,,,,,,,,,,What I could have done to make this course better for myself.,"[""Access project materials earlier"", ""Don’t do assignments at the last minute""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ENTR6250-01 Lean Design and Development  (Tucker Marion),51,Demographics,How often did you attend this class both in-person and remotely?,,,,,,,,,,,,,,,"{""80-100%"": 4, ""60-80%"": 2, ""40-60%"": 0, ""20-40%"": 1, ""1-20%"": 1}"
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ENTR6250-01 Lean Design and Development  (Tucker Marion),51,Demographics,The number of hours per week I devoted to this course outside scheduled class meeting times.,,,,,,,,,,,,,,,"{""More than 10"": 3, ""8-10"": 2, ""5-7"": 3, ""3-4"": 0, ""0-2"": 0}"
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Questions to Assess Students’ Online Experience,Online course materials were organized to help me navigate through the course week by week.,6,5.0,4.46,4.41,5.0,5.0,5.0,6,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Questions to Assess Students’ Online Experience,Online interactions with my instructor created a sense of connection in the virtual classroom.,6,4.83,4.18,4.3,5.0,5.0,5.0,5,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Questions to Assess Students’ Online Experience,Online course interactions created a sense of community and connection to my classmates.,6,4.83,3.89,4.2,5.0,4.0,5.0,5,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Questions to Assess Students’ Online Experience,I had the necessary computer skills and technology to successfully complete the course.,6,4.83,4.61,4.69,5.0,5.0,5.0,5,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Course Related Questions,The syllabus was accurate and helpful in delineating expectations and course outcomes.,6,5.0,4.5,4.45,5.0,5.0,5.0,6,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Course Related Questions,Required and additional course materials were helpful in achieving course outcomes.,6,4.33,4.18,4.36,5.0,5.0,5.0,4,1,0,1,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Learning Related Questions,In-class sessions were helpful for learning.,6,4.83,4.29,4.29,5.0,5.0,5.0,5,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Learning Related Questions,Out-of-class assignments and/or fieldwork were helpful for learning.,6,4.83,4.29,4.29,5.0,4.5,5.0,5,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Learning Related Questions,This course was intellectually challenging.,6,4.67,4.32,4.37,5.0,4.0,5.0,4,2,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Learning Related Questions,I learned a lot in this course.,6,4.83,4.39,4.43,5.0,5.0,5.0,5,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Instructor Related Questions: Richard Herron,The instructor came to class prepared to teach.,6,4.83,4.39,4.6,5.0,5.0,5.0,5,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Instructor Related Questions: Richard Herron,The instructor used class time effectively.,6,4.83,4.29,4.44,5.0,5.0,5.0,5,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Instructor Related Questions: Richard Herron,The instructor clearly communicated ideas and information.,6,4.83,4.5,4.31,5.0,5.0,5.0,5,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Instructor Related Questions: Richard Herron,The instructor provided sufficient feedback.,6,4.83,4.36,4.26,5.0,5.0,5.0,5,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Instructor Related Questions: Richard Herron,The instructor fairly evaluated my performance.,6,4.83,4.43,4.36,5.0,5.0,5.0,5,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Instructor Related Questions: Richard Herron,The instructor was available to assist students outside of class.,6,4.83,4.5,4.52,5.0,5.0,5.0,5,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Instructor Related Questions: Richard Herron,The instructor facilitated a respectful and inclusive learning environment.,6,4.83,4.63,4.61,5.0,5.0,5.0,5,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Instructor Related Questions: Richard Herron,The instructor displayed enthusiasm for the course.,6,4.83,4.63,4.71,5.0,5.0,5.0,5,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Instructor Effectiveness: Richard Herron,What is your overall rating of this instructor's teaching effectiveness?,6,5.0,4.65,4.5,5.0,5.0,5.0,6,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Comments,,,,,,,,,,,,,,Please comment on your experience of the online course environment in the open-ended text box.,"[""good"", ""Easy to understand videos in the asynchronous portion."", ""This instructor is my favorite in using modern tech in teaching.""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Comments,,,,,,,,,,,,,,What were the strengths of this course and/or this instructor?,"[""– well structured, and appropriate learning material– Quizzes as a means to keep students engaged outside of lectures was a great thing to do"", ""knowledge，good at teaching"", ""The ability to introduce a portfolio optimization topic and implement it within 2 meetings, coupled with academic readings directly related to the topic. I enjoy the 'crash course' style teaching environment where the objective of the class is met within a small amount of time.""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Comments,,,,,,,,,,,,,,What could the instructor do to make this course better?,"[""One suggestion I’d offer is to consider incorporating the Investopedia stock simulator to replicate a simple Risk Parity or Levered Risk Parity portfolio. It would be a great hands–on addition and help students see how the concept actually plays out in real markets.Even though the class runs for less than three weeks, students could still allocate time between sessions to observe the portfolio’s performance and draw insights. Otherwise, the course structure is strong as it is."", ""a little bit difficult"", ""Building off the strengths above, I think this class would benefit from an optional 1 credit continuation component that would challenge the student to conduct independent research. Ideal for students who want to work on publishing academic papers, or delve deeper into the topics of the class. Logistically it may be hard for a professor to advise several students, so the number of students could be limited or based on prior merit, grades, application, or idea.""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Comments,,,,,,,,,,,,,,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,"[""I think it's already a well thought out course"", ""nothing"", ""The professor is clear in communication and does not dismiss any ideas or questions."", ""He is the best.""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Comments,,,,,,,,,,,,,,What I could have done to make this course better for myself.,"[""I think this is a well–structured course, especially for a one–credit class."", ""practice more""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Demographics,How often did you attend this class both in-person and remotely?,,,,,,,,,,,,,,,"{""80-100%"": 6, ""60-80%"": 0, ""40-60%"": 0, ""20-40%"": 0, ""1-20%"": 0}"
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6238-01 Risk Parity Investing  (Richard Herron),16,Demographics,The number of hours per week I devoted to this course outside scheduled class meeting times.,,,,,,,,,,,,,,,"{""More than 10"": 1, ""8-10"": 0, ""5-7"": 1, ""3-4"": 4, ""0-2"": 0}"
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Questions to Assess Students’ Online Experience,Online course materials were organized to help me navigate through the course week by week.,5,5.0,4.46,4.41,5.0,5.0,5.0,5,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Questions to Assess Students’ Online Experience,Online interactions with my instructor created a sense of connection in the virtual classroom.,5,4.4,4.18,4.3,5.0,5.0,5.0,4,0,0,1,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Questions to Assess Students’ Online Experience,Online course interactions created a sense of community and connection to my classmates.,5,4.2,3.89,4.2,5.0,4.0,5.0,4,0,0,0,1,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Questions to Assess Students’ Online Experience,I had the necessary computer skills and technology to successfully complete the course.,5,5.0,4.61,4.69,5.0,5.0,5.0,5,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Course Related Questions,The syllabus was accurate and helpful in delineating expectations and course outcomes.,5,4.8,4.5,4.45,5.0,5.0,5.0,4,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Course Related Questions,Required and additional course materials were helpful in achieving course outcomes.,5,5.0,4.18,4.36,5.0,5.0,5.0,5,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Learning Related Questions,In-class sessions were helpful for learning.,5,4.6,4.29,4.29,5.0,5.0,5.0,4,0,1,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Learning Related Questions,Out-of-class assignments and/or fieldwork were helpful for learning.,5,4.8,4.29,4.29,5.0,4.5,5.0,4,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Learning Related Questions,This course was intellectually challenging.,5,4.8,4.32,4.37,5.0,4.0,5.0,4,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Learning Related Questions,I learned a lot in this course.,5,5.0,4.39,4.43,5.0,5.0,5.0,5,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Instructor Related Questions: Mark Gooley,The instructor came to class prepared to teach.,5,4.8,4.39,4.6,5.0,5.0,5.0,4,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Instructor Related Questions: Mark Gooley,The instructor used class time effectively.,5,4.8,4.29,4.44,5.0,5.0,5.0,4,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Instructor Related Questions: Mark Gooley,The instructor clearly communicated ideas and information.,5,5.0,4.5,4.31,5.0,5.0,5.0,5,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Instructor Related Questions: Mark Gooley,The instructor provided sufficient feedback.,5,4.8,4.36,4.26,5.0,5.0,5.0,4,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Instructor Related Questions: Mark Gooley,The instructor fairly evaluated my performance.,5,4.8,4.43,4.36,5.0,5.0,5.0,4,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Instructor Related Questions: Mark Gooley,The instructor was available to assist students outside of class.,5,4.8,4.5,4.52,5.0,5.0,5.0,4,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Instructor Related Questions: Mark Gooley,The instructor facilitated a respectful and inclusive learning environment.,5,4.8,4.63,4.61,5.0,5.0,5.0,4,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Instructor Related Questions: Mark Gooley,The instructor displayed enthusiasm for the course.,5,4.8,4.63,4.71,5.0,5.0,5.0,4,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Instructor Effectiveness: Mark Gooley,What is your overall rating of this instructor's teaching effectiveness?,5,4.8,4.65,4.5,5.0,5.0,5.0,4,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Comments,,,,,,,,,,,,,,Please comment on your experience of the online course environment in the open-ended text box.,"[""Great experience alot of available material."", ""Overall challenging but great course where I learned a lot."", ""This was a fantastic class.  The Professor and TAs worked very hard to ensure that all questions were answered and instructions were clear.""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Comments,,,,,,,,,,,,,,What were the strengths of this course and/or this instructor?,"[""His ability to communicate challenging concepts into relatable situations. Great work!"", ""Approachable learning and explained concepts well in course materials! Very responsive to discussion questions and live session questions."", ""Loved Mark, favorite teacher so far in the program. Made it so simple to understand."", ""This felt like the most organized class I've taken online at Northeastern. The TAs and Professor both were very responsive to student concerns and questions.""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Comments,,,,,,,,,,,,,,What could the instructor do to make this course better?,"[""Provide more non–exam portions of our overall grade so it's not weighted so heavily towards 2 exams."", ""a little more on overviews of the topics before the problems we worked through. Hard to fit in the limited time though..."", ""I would have liked more time in between the deadline to complete assignments and the next office hours, but I understand it was a scheduling issue. 5:00 PM on a Monday was probably the worst time for me personally for Faculty Connect because it's coming after spending the weekend working on assignments AND starting off the busy work week. I also wish we had the additional weekend day to study for the final exam, like we did for the midterm. It matters to working professionals.""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Comments,,,,,,,,,,,,,,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,"[""Offered lots of opportunities to ask questions and learning in different formats."", ""Mark did an excellent job of teaching the material and spent a lot of  time answering questions and showing his work. He also seemed to genuinely enjoy the material and teaching students. He has an ease that comes across remotely and helped me settle down and focus on learning a lot of material in a short period of time.""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Comments,,,,,,,,,,,,,,What I could have done to make this course better for myself.,"[""Taken more time to practice/study throughout non–exam weeks in the course."", ""Attended all of the live classes would have made it gone smoother for me."", ""More of a daily discipline of practice questions. My work schedule was difficult during this time period, but I followed the faculty connect recorded sessions and watched them multiple times.""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Demographics,How often did you attend this class both in-person and remotely?,,,,,,,,,,,,,,,"{""80-100%"": 4, ""60-80%"": 0, ""40-60%"": 0, ""20-40%"": 0, ""1-20%"": 1}"
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-03 Financial Management  (Mark Gooley),22,Demographics,The number of hours per week I devoted to this course outside scheduled class meeting times.,,,,,,,,,,,,,,,"{""More than 10"": 2, ""8-10"": 2, ""5-7"": 1, ""3-4"": 0, ""0-2"": 0}"
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Questions to Assess Students’ Online Experience,Online course materials were organized to help me navigate through the course week by week.,16,4.13,4.46,4.41,4.0,5.0,5.0,7,7,0,1,1,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Questions to Assess Students’ Online Experience,Online interactions with my instructor created a sense of connection in the virtual classroom.,16,4.0,4.18,4.3,4.0,5.0,5.0,6,6,3,0,1,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Questions to Assess Students’ Online Experience,Online course interactions created a sense of community and connection to my classmates.,15,3.6,3.89,4.2,4.0,4.0,5.0,4,4,5,1,1,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Questions to Assess Students’ Online Experience,I had the necessary computer skills and technology to successfully complete the course.,16,4.38,4.61,4.69,5.0,5.0,5.0,10,4,1,0,1,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Course Related Questions,The syllabus was accurate and helpful in delineating expectations and course outcomes.,16,4.31,4.5,4.45,4.0,5.0,5.0,7,7,2,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Course Related Questions,Required and additional course materials were helpful in achieving course outcomes.,16,4.06,4.18,4.36,4.0,5.0,5.0,7,6,1,1,1,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Learning Related Questions,In-class sessions were helpful for learning.,16,4.13,4.29,4.29,4.0,5.0,5.0,7,5,3,1,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Learning Related Questions,Out-of-class assignments and/or fieldwork were helpful for learning.,16,4.0,4.29,4.29,4.0,4.5,5.0,5,8,1,2,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Learning Related Questions,This course was intellectually challenging.,16,4.06,4.32,4.37,4.0,4.0,5.0,5,8,2,1,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Learning Related Questions,I learned a lot in this course.,16,4.13,4.39,4.43,4.0,5.0,5.0,7,6,2,0,1,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Instructor Related Questions: Mark Gooley,The instructor came to class prepared to teach.,16,4.25,4.39,4.6,4.5,5.0,5.0,8,4,4,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Instructor Related Questions: Mark Gooley,The instructor used class time effectively.,16,4.13,4.29,4.44,4.0,5.0,5.0,7,5,3,1,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Instructor Related Questions: Mark Gooley,The instructor clearly communicated ideas and information.,16,4.31,4.5,4.31,5.0,5.0,5.0,9,5,1,0,1,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Instructor Related Questions: Mark Gooley,The instructor provided sufficient feedback.,16,4.19,4.36,4.26,4.5,5.0,5.0,8,5,2,0,1,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Instructor Related Questions: Mark Gooley,The instructor fairly evaluated my performance.,16,4.25,4.43,4.36,4.5,5.0,5.0,8,4,4,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Instructor Related Questions: Mark Gooley,The instructor was available to assist students outside of class.,16,4.31,4.5,4.52,4.5,5.0,5.0,8,6,1,1,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Instructor Related Questions: Mark Gooley,The instructor facilitated a respectful and inclusive learning environment.,15,4.53,4.63,4.61,5.0,5.0,5.0,9,5,1,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Instructor Related Questions: Mark Gooley,The instructor displayed enthusiasm for the course.,15,4.6,4.63,4.71,5.0,5.0,5.0,10,4,1,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Instructor Effectiveness: Mark Gooley,What is your overall rating of this instructor's teaching effectiveness?,14,4.57,4.65,4.5,5.0,5.0,5.0,10,3,0,1,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Comments,,,,,,,,,,,,,,Please comment on your experience of the online course environment in the open-ended text box.,"[""Overall I very much enjoyed the material of this course and the instructor"", ""I really enjoyed the class and the interaction with the professor and TAs during the online sessions"", ""I had to purchase a new computer for this course due to the exam having an excel attached."", ""Truly enjoyed this course, all material was provided in a structured manner and helps acquire all the concepts in the syllabus."", ""The worst designed and delivered course I have ever taken. Materials were convoluted, disorganized, and buried. It was common for a slide show to be embedded in another slide show, or even three in, to then show max 4 slides with one sentence of content on each page. Lots of practice sets but no actual teaching or clearly written/ presented explanations of how to do them. You end up digging through buried information and the autogenerated explanations of wrong answers in the problem sets to piece together the right way to do things.  This isn't complex math or elaborate concepts, just bad teaching. It seems like maybe this professor has never taught online before? Or isn't very good at creating material for this format of learning. Disappointing since this is such an important course."", ""The course was well organized to help me learn. The found the faculty connect sessions to be invaluable."", ""The course was easy to navigate and a lot of materials were available to us.  This was a fully remote class."", ""There was no set time for the class which made it hard to schedule in time to work throughout the week."", ""I truly enjoed Mark as the instructor od this course.""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Comments,,,,,,,,,,,,,,What were the strengths of this course and/or this instructor?,"[""He was very knowledgeable and found various ways to explain the concepts. He was helpful, approachable and informative."", ""clearly well versed in the materials of the course and was able to explain the material simply and practically which helped me retain the information we covered in our live sessions"", ""The overall organization of material and class interaction was excellent. Mark made an effort to make it engaging and to answer our questions during class."", ""Professor Gooley excels at simplifying the concepts for better understanding."", ""n/a"", ""Mark is exceptionally good at simplifying complex concepts into something I can understand and apply."", ""The instructors lecture videos were extremely helpful, even though I couldn't make a lot of the live sessions, I would watch them afterwards and they were still very effective."", ""The instructor was really patient with students and was always willing to give the extra mile when explaining the material.""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for FINA6318-04 Financial Management  (Mark Gooley),122,Comments,,,,,,,,,,,,,,What could the instructor do to make this course better?,"[""Take away the group project, it was extra time that could be dedicated to course material, as the project is not even discussed after, it didn't feel necessary and with limited time to complete it, it require a lot of effort of organizing schedules. It defects the purpose of extra value added to the course, it actually hinders it."", ""Encouraging students' interactions through an online graded discussion would add value, even if the grade is 1 point. Maybe, though, a group evaluation of the projects"", ""Create clear learning materials, visuals, and slide shows. Take the time to make material useful for online learning. Consider the distraction and time sink of clicking through poorly organized material and try to avoid this when designing the course material."", ""Difficult for me to say. I almost wish that there could be more material covered but I don’t know if that’s something Mark could do."", ""Maybe instead of one midterm and one final, having smaller weighted quizzes along the way to test knowledge would be helpful. The homework assignments were good, but I felt like I would go into the larger weighted tests feeling prepared but not score as well as I had hoped. If I had a few more chances to practice those questions in a quiz environment I may have been able to improve faster."", ""Have the faculty connect sessions longer, those were the spaces I learned the most.""]",
